source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Seedly,,2019-08-28 18:25:47,"How often do you ""kena"" fine?  Some of these traffic violations can be serious!",10,10,,,,,,2,1175562559298443,/story.php?story_fbid=1175562559298443&id=460639650790741
Seedly,,2019-08-28 16:00:05,"Property development stocks: their properties look good, but how about their stocks? 🧐",4,4,,,,,,1,1175495085971857,/story.php?story_fbid=1175495085971857&id=460639650790741
Seedly,,2019-08-28 13:47:19,Is your significant other more expensive to pamper than having a furry friend?,42,14,28,,,,,10,1175457135975652,/story.php?story_fbid=1175457135975652&id=460639650790741
Seedly,,2019-08-27 18:15:05,"Mid-Autumn Festival is around the corner! Have you bought your mooncakes?  If you haven't, here's a price guide on the mooncakes you can get, depending on your budget!",14,13,,1,,,,2,1174887416032624,/story.php?story_fbid=1174887416032624&id=460639650790741
Seedly,,2019-08-27 17:03:50,"If you have $20,000 to spare... Will you?",34,33,,,1,,,1,1174853066036059,/story.php?story_fbid=1174853066036059&id=460639650790741
Seedly,,2019-08-27 14:37:02,Looking to build a retirement portfolio which gives steady growth and streams of passive income?,43,43,,,,,,1,1174789886042377,/story.php?story_fbid=1174789886042377&id=460639650790741
Seedly,,2019-08-27 13:56:58,If you're a KrisFlyer member then this new miles card might be worth considering... ✈️,11,10,,,1,,,2,1174774602710572,/story.php?story_fbid=1174774602710572&id=460639650790741
Seedly,,2019-08-26 19:44:42,"Is it possible to earn a $4,200 monthly salary with normal working hours? Maybe not...",55,41,3,,11,,,7,1174235386097827,/story.php?story_fbid=1174235386097827&id=460639650790741
Seedly,,2019-08-26 19:26:02,Have you ever wondered how your ride-hailing habits will accumulate and might eventually be enough to fund you a car?  We compared the costs of both to see which is cheaper.,86,75,4,,6,1,,10,1174226542765378,/story.php?story_fbid=1174226542765378&id=460639650790741
Seedly,,2019-08-26 19:17:28,"It's been awhile since our #PoweredBySeedly campaign! BIG CONGRATS to Teresa Wong who won 1 year FREE electricity for her Grandmother. ;)  If you have not switched yet, simply head over to our comparison tool which lists down all 12 electricity retailers in the market and compares over 108 offered plans based on user reviews, rates, housing type, promotional codes and deals in the market. The data is updated daily and reflective of rates in the market.  Check it out: https://seedly.sg/compare/open-electricity-market",5,4,,1,,,,,1174222762765756,/story.php?story_fbid=1174222762765756&id=460639650790741
Seedly,,2019-08-26 11:57:21,An inverted yield curve is when interest rates on short-term loans are higher than on long-term loans.  We look at why it matters to Singaporeans investors.,6,6,,,,,,1,1174035946117771,/story.php?story_fbid=1174035946117771&id=460639650790741
Seedly,,2019-08-25 12:00:00,It really doesn't have to be.,30,30,,,,,,2,1173224512865581,/story.php?story_fbid=1173224512865581&id=460639650790741
Seedly,,2019-08-24 12:00:51,Thinking of investing in REITs? Here’s your guide to analysing the right REITs for you to invest in. How to analyse REITs in detail: https://bit.ly/2ZdBxyx REITs in Singapore: https://bit.ly/323gc8i,27,27,,,,,,1,1172664146254951,/story.php?story_fbid=1172664146254951&id=460639650790741
Seedly,,2019-08-24 10:10:01,Is FairPrice Finest a no-go?  We compared the prices of common household items from different FairPrices so that you don't have to!,15,14,,1,,,,2,1172271612960871,/story.php?story_fbid=1172271612960871&id=460639650790741
Seedly,,2019-08-23 18:57:00,"TGIF! Hitting the clubs tonight? Here's a guide on how much you'd spend on a typical night out, and how to save money while you club!",4,3,,,1,,,1,1172136259641073,/story.php?story_fbid=1172136259641073&id=460639650790741
Seedly,,2019-08-23 11:50:37,"Me: so... why is this plan you're recommending, good? Agent: trust me lah! it's damn good *whispers* for my commission Me: what? Agent: what? Me: 😑 Find out how to identify a good insurance agent: http://bit.ly/2NpxE2t",10,4,6,,,,,1,1171946649660034,/story.php?story_fbid=1171946649660034&id=460639650790741
Seedly,,2019-08-23 09:26:04,1 in 7 Singaporeans has experienced a mental disorder in their lifetime. Here's a guide on subsidies and other resources available to help with the financial costs.,25,23,,2,,,,4,1171870319667667,/story.php?story_fbid=1171870319667667&id=460639650790741
Seedly,,2019-08-22 17:32:59,There's FairPrice Supermarket vs Shop vs Xtra vs Finest.  Have you been avoiding FairPrice Finest so that you won't have to pay more? Is there really a difference?,11,10,,1,,,,1,1171384419716257,/story.php?story_fbid=1171384419716257&id=460639650790741
Seedly,,2019-08-22 12:50:16,"A REIT with a solid track record of delivering consistent growth in revenue, DPU, and NAV over the past 10 years. But is it a good time to buy now? 🤔",4,4,,,,,,1,1171277103060322,/story.php?story_fbid=1171277103060322&id=460639650790741
Seedly,,2019-08-22 08:00:00,Here's how you can GAME your Cai Png ordering game!,12,7,5,,,,,1,1170956289759070,/story.php?story_fbid=1170956289759070&id=460639650790741
Seedly,,2019-08-21 19:09:27,"17 Affordable place to eat clean. 14 Meal prep ideas. $195,000 saved over 30 years! Who's on?",22,22,,,,,,2,1170784439776255,/story.php?story_fbid=1170784439776255&id=460639650790741
