,post_id,username,username_count,level,rank
3055,1183,Javier Lim,1,5,Genius 
3056,1183,Clarence Chua,1,7,Grand Master 
3057,1183,Guo Hao Teo,1,4,Prodigy 
3058,1184,Hariz Arthur Maloy,1,9,God of Wisdom 
3059,1184,Good Day Every Day,1,6,Master 
3060,1184,Lim Jin Han,1,2,Rookie 
3061,1184,Kenneth Lou,1,8,Wizard 
3062,1185,Dawn Fiona,1,5,Genius 
3063,1186,Yixiong Chang,1,5,Genius 
3064,1186,Yong Kah Hwee,1,6,Master 
3065,1187,Amos Goh,1,3,Wonderkid 
3066,1187,HC Tang,1,8,Wizard 
3067,1187,Alan Seng,1,3,Wonderkid 
3068,1187,James Yeo,1,4,Prodigy 
3069,1187,Gabriel Tham,1,8,Wizard 
3070,1188,Gabriel Lee,1,6,Master 
3071,1188,Marcus Goh,1,3,Wonderkid 
3072,1188,Tan Wei Jie Shawn,1,2,Rookie 
3073,1188,Tee-Ming Chew,1,6,Master 
3074,1188,Hannah Foo,1,3,Wonderkid 
3075,1189,Billy Ko,1,6,Master 
3076,1190,Zann Chua,1,6,Master 
3077,1190,Sandra Teo,1,6,Master 
3078,1191,Cherie Julianne Tan,1,6,Master 
3079,1191,Yeo Enk Loui,1,6,Master 
3080,1191,Richard Woon Tian Jun,1,6,Master 
3081,1191,Kunxiang Chia,1,2,Rookie 
3082,1191,Chris Lee Susanto,1,2,Rookie 
3083,1192,Yeo Enk Loui,1,6,Master 
3084,1193,Lok Yang Teng,1,6,Master 
3085,1194,Kenneth Fong,1,5,Genius 
3086,1195,KKKai Kai Boon,1,3,Wonderkid 
3087,1195,Isaac Chan,1,8,Wizard 
3088,1195,Yong Kah Hwee,1,6,Master 
3089,1195,Terence Tan,1,3,Wonderkid 
3090,1195,Gabriel Tham,1,8,Wizard 
3091,1196,Sean Sim,1,2,Rookie 
3092,1197,Leonard Tan,1,6,Master 
3093,1198,Dwivid Sharma,1,3,Wonderkid 
3094,1198,Lok Yang Teng,1,6,Master 
3095,1199,Vincent Tan Wen Bin,1,5,Genius
3096,1199,JJefremy ,1,3,Wonderkid
3097,1199,Cedric Jamie Soh,1,7,Grand Master
3098,1200,Junus Eu,1,8,Wizard
3099,1200,Gabriel Tham,1,8,Wizard 
3100,1201,Alan Seng,1,3,Wonderkid 
3101,1201,Kenichi Xi,1,6,Master 
3102,1201,Good Day Every Day,1,6,Master 
3103,1201,Yong Kah Hwee,1,6,Master 
3104,1201,HC Tang,1,8,Wizard 
3105,1201,Adrian Goh Jun Wei,1,4,Prodigy 
3106,1201,Gabriel Tham,1,8,Wizard 
3107,1202,Eddie Yeo,1,3,Wonderkid 
3108,1202,Gabriel Tham,1,8,Wizard 
3109,1202,Dominic Chang,1,3,Wonderkid 
3110,1202,Terence Ang,1,2,Rookie 
3111,1202,Ric Wang Poh Peng,1,2,Rookie 
3112,1202,Galvin Tham,1,2,Rookie 
3113,1203,Guo Hao Teo,1,4,Prodigy
3114,1203,Ashley Wong,1,4,Prodigy 
3115,1204,Mike Ferrer,1,3,Wonderkid 
3116,1205,Elijah Lee,1,9,God of Wisdom 
3117,1205,Harvey Tan,1,5,Genius 
3118,1205,Mike Ferrer,1,3,Wonderkid 
3119,1205,Jonathan Chia Guangrong,1,6,Master 
3120,1205,Kenneth Chan,1,4,Prodigy 
3121,1205,MMark,1,3,Wonderkid 
3122,1206,Mike Ferrer,1,3,Wonderkid 
3123,1206,Leonard Tan,1,6,Master 
3124,1206,KWKai Wei Ng,1,1,Freshie 
3125,1207,Clarence Chua,1,7,Grand Master 
3126,1207,Samuel Yip,1,2,Rookie 
3127,1207,Luke Ho,1,6,Master 
3128,1208,Junus Eu,1,8,Wizard 
3129,1209,Zen Rogue Xuan,1,5,Genius 
3130,1209,Mike Ferrer,1,3,Wonderkid 
3131,1209,Jefremy Juari,1,3,Wonderkid 
3132,1210,Aik Kai,1,6,Master 
3133,1211,Melvin Soh,1,2,Rookie 
3134,1211,Alexxxxxxxxx,1,1,Freshie 
3135,1211,MMark,1,3,Wonderkid 
3136,1212,Aik Kai,1,6,Master 
3137,1212,李自强,1,2,Rookie 
3138,1213,Aik Kai,1,6,Master 
3139,1213,Wayne Lim,1,2,Rookie 
3140,1213,Yong Kah Hwee,1,6,Master 
3141,1213,Jeff Yeo,1,6,Master 
3142,1213,YY Yin Yu,1,3,Wonderkid 
3143,1214,Aik Kai,1,6,Master 
3144,1215,Aik Kai,1,6,Master 
3145,1216,Justin Kieran Ong,1,3,Wonderkid 
3146,1216,Aik Kai,1,6,Master 
3147,1217,Aik Kai,1,6,Master 
3148,1218,Elijah Lee,1,9,God of Wisdom 
3149,1219,Cherie Julianne Tan,1,6,Master
3150,1219,Jonathan Chia Guangrong,1,6,Master 
3151,1220,HC Tang,1,8,Wizard 
3152,1220,Yong Kah Hwee,1,6,Master 
3153,1220,Isabella Jo,1,4,Prodigy 
3154,1221,HC Tang,1,8,Wizard 
3155,1221,Yong Kah Hwee,1,6,Master 
3156,1221,Kenichi Xi,1,6,Master 
