comment	commenter	date	num_comment	num_likes	url	username
ESPECIALLY FOR CONDO & APARTMENT OWNERS WHO BOUGHT BEFORE YEAR 2015!	mortgageconsultancy	2019-03-02T02:21:11.000Z	1	28	http://instagram.com/p/BufSzstBPms/	mortgageconsultancy
What's your favourite kind of eyebrow? 👀	lushvisage	2019-03-02T02:21:11.000Z	1	28	http://instagram.com/p/BufSzstBPms/	mortgageconsultancy
6 Important Points to Take Note for Home Loan and Refinancing!	mortgageconsultancy	2019-02-25T15:00:44.000Z	0	17	http://instagram.com/p/BuTxuedBcHq/	mortgageconsultancy
EXTENDED CNY PROMO IS HERE!	mortgageconsultancy	2019-02-23T15:01:46.000Z	1	13	http://instagram.com/p/BuOoSS9hnsG/	mortgageconsultancy
Follow us if you would like to shop for cheap groceries online !	sggrocers	2019-02-23T15:01:46.000Z	1	13	http://instagram.com/p/BuOoSS9hnsG/	mortgageconsultancy
ESPECIALLY FOR ALL HOME OWNERS!	mortgageconsultancy	2019-02-23T14:34:38.000Z	0	16	http://instagram.com/p/BuOlLhzBRNg/	mortgageconsultancy
ESPECIALLY FOR HDB OWNERS WHO BOUGHT BEFORE YEAR 2014!	mortgageconsultancy	2019-02-23T01:04:28.000Z	0	11	http://instagram.com/p/BuNIdvnhFM5/	mortgageconsultancy
Episode 1 - Four Types of Property Loan Packages in Singapore	mortgageconsultancy	2019-02-20T23:56:16.000Z	0	6	http://instagram.com/p/BuH3CaqBT04/	mortgageconsultancy
Dear Property Sellers and Investors,	mortgageconsultancy	2019-02-19T14:34:35.000Z	0	9	http://instagram.com/p/BuER3l1BbjL/	mortgageconsultancy
Find the Best Property Agent?	mortgageconsultancy	2019-02-18T10:44:44.000Z	1	17	http://instagram.com/p/BuBS5V1hY3l/	mortgageconsultancy
Lowest Home Loan From 1.9%+	mortgageconsultancy	2019-02-17T11:26:51.000Z	0	11	http://instagram.com/p/Bt-y47dhwOj/	mortgageconsultancy
Lowest Home Loan From 1.9%+	mortgageconsultancy	2019-02-17T11:22:42.000Z	0	6	http://instagram.com/p/Bt-ybRfhA5V/	mortgageconsultancy
Lowest Home Loan From 1.9%+	mortgageconsultancy	2019-02-16T16:27:50.000Z	0	7	http://instagram.com/p/Bt8wkgyBlsN/	mortgageconsultancy
Mortgage Consultancy resumes work on 大年初四!	mortgageconsultancy	2019-02-08T06:50:00.000Z	0	14	http://instagram.com/p/BtnIFXRBYcO/	mortgageconsultancy
Mortgage Consultancy and his team wishes everyone a Happy Lunar New Year ahead!	mortgageconsultancy	2019-02-02T16:06:21.000Z	0	11	http://instagram.com/p/BtYq--DBK4E/	mortgageconsultancy
"WOW! Did I just hear a ""5 YEAR FIXED RATE HOME LOAN PACKAGE AT 2.4% NETT"" for home owners? Limited Offer Only! PM us at +65 85565271 for a Quote! https://www.mortgageconsultancy.com.sg"	mortgageconsultancy	2019-02-01T01:20:21.000Z	0	8	http://instagram.com/p/BtUgy0YB4Yp/	mortgageconsultancy
Mortgage Consultancy is honoured to be accredited with NS Mark by Ministry of Defence.	mortgageconsultancy	2019-01-31T23:56:23.000Z	0	6	http://instagram.com/p/BtUXLy9hcW7/	mortgageconsultancy
6 Important Points to Take Note for Home Loan and Refinancing. https://youtu.be/ppXXMvKmnrQ	mortgageconsultancy	2019-01-04T00:32:32.000Z	1	17	http://instagram.com/p/BsMVEJ4B7CT/	mortgageconsultancy
Enjoy with www.jntourandtravel.com Zanzibar Tanzania	director_jntourandtravel	2019-01-04T00:32:32.000Z	1	17	http://instagram.com/p/BsMVEJ4B7CT/	mortgageconsultancy
4 types of property bank loans in Singapore. https://www.mortgageconsultancy.com.sg/blog/4-types-of-property-bank-loan-packages	mortgageconsultancy	2019-01-01T05:34:08.000Z	0	9	http://instagram.com/p/BsFJMe5BkLi/	mortgageconsultancy
*SATISFACTION GUARANTEED*	mortgageconsultancy	2019-01-01T05:28:37.000Z	0	7	http://instagram.com/p/BsFIkCvB3WW/	mortgageconsultancy
Happy New Year to all our friends here!	mortgageconsultancy	2019-01-01T00:12:38.000Z	0	7	http://instagram.com/p/BsEkZw2h2yM/	mortgageconsultancy
X'mas Mood at Mortgage Consultancy's Office!	mortgageconsultancy	2018-11-24T15:08:27.000Z	0	34	http://instagram.com/p/BqkUtpmAeKb/	mortgageconsultancy
Mortgage Consultancy was ranked 85th position worldwide as Top 100 Mortgage Blog. Visit us at https://www.mortgageconsultancy.com.sg for more articles!	mortgageconsultancy	2018-11-24T15:03:24.000Z	1	8	http://instagram.com/p/BqkUIo5AZVk/	mortgageconsultancy
:)!!!!	juneunicorn	2018-11-24T15:03:24.000Z	1	8	http://instagram.com/p/BqkUIo5AZVk/	mortgageconsultancy
 	 	2018-11-19T15:30:55.000Z	0	28	http://instagram.com/p/BqXfTyag8Aq/	mortgageconsultancy
Relax....We've got this!! 👇 👇 👇	mortgageconsultancy	2018-11-19T15:29:37.000Z	0	11	http://instagram.com/p/BqXfKTSAc7o/	mortgageconsultancy
Earn a minimum of S$500.00 in COMMISSION for every 20 minute appointment!	mortgageconsultancy	2018-11-19T15:27:59.000Z	1	11	http://instagram.com/p/BqXe-UjgpUG/	mortgageconsultancy
Nice!!👍👍👍😘😘😗😙😚💋❤️👏👏‼️	eileen.yip.77	2018-11-19T15:27:59.000Z	1	11	http://instagram.com/p/BqXe-UjgpUG/	mortgageconsultancy
Relax....We've got this!! 👇 👇 👇	mortgageconsultancy	2018-11-19T15:25:40.000Z	0	5	http://instagram.com/p/BqXetYIgbkE/	mortgageconsultancy
 	 	2018-11-19T15:23:24.000Z	0	7	http://instagram.com/p/BqXecxDgIM5/	mortgageconsultancy
Congratulations to Mortgage Consultancy to have made it to Top 100 Mortgage Blog(Ranked No.85th).	mortgageconsultancy	2018-10-02T14:43:23.000Z	0	8	http://instagram.com/p/BobztqFg0Ma/	mortgageconsultancy
